Index,Timestamp,Speaker,Utterance,Traits,Justification,Confidence,ClarityScore,UniquenessScore,QualityScore
0,,CHI,what's that ?,NONE,normal conversational response,0.0,0.0,0.0,0.0
1,,MOT,"that's a car , oh we can have a tea_party .",NONE,normal statement,0.0,0.0,0.0,0.0
2,,MOT,you wanna put it in the truck ?,NONE,normal question,0.0,0.0,0.0,0.0
3,,MOT,okay .,NONE,normal conversational response,0.0,0.0,0.0,0.0
4,,MOT,what else is in there ?,NONE,normal question,0.0,0.0,0.0,0.0
5,,CHI,that's a phone .,NONE,normal statement,0.0,0.0,0.0,0.0
6,,MOT,that's a phone .,NONE,normal statement,0.0,0.0,0.0,0.0
7,,MOT,what does it do when you push the buttons ?,NONE,normal question,0.0,0.0,0.0,0.0
8,,CHI,huh .,NONE,simple response,0.0,0.0,0.0,0.0
9,,MOT,push the buttons .,NONE,normal command,0.0,0.0,0.0,0.0
10,,MOT,is it doing anything ?,NONE,normal question,0.0,0.0,0.0,0.0
11,,MOT,oh do you wanna talk to somebody ?,NONE,normal question,0.0,0.0,0.0,0.0
12,,CHI,it's &~da .,NONE,unclear utterance,0.0,0.0,0.0,0.0
13,,MOT,oh that's for this .,NONE,normal statement,0.0,0.0,0.0,0.0
14,,MOT,you see it's a teacup .,NONE,normal statement,0.0,0.0,0.0,0.0
15,,CHI,I wanna put it in .,NONE,normal statement,0.0,0.0,0.0,0.0
16,,MOT,mhm .,NONE,simple response,0.0,0.0,0.0,0.0
17,,MOT,are you gonna put the blocks in the teacup ?,NONE,normal question,0.0,0.0,0.0,0.0
18,,CHI,yeah .,NONE,normal conversational response,0.0,0.0,0.0,0.0
19,,MOT,oh I don't think it fits certain way in here .,NONE,normal statement,0.0,0.0,0.0,0.0
20,,MOT,there's another cup in there .,NONE,normal statement,0.0,0.0,0.0,0.0
21,,MOT,oh .,NONE,normal conversational response,0.0,0.0,0.0,0.0
22,,CHI,this .,NONE,unclear utterance,0.0,0.0,0.0,0.0
23,,MOT,you gonna put some blocks ?,NONE,normal question,0.0,0.0,0.0,0.0
